,artista,medio,programa,produccion/director
1545,mar-vidal,television,« EL PUEBLO » ,  Mediaset. 2ª temporada.
1546,mar-vidal,television,« CENTRO MÉDICO » , TVE1. 
1547,mar-vidal,cine,« MADRES PARALELAS » , Dir. Pedro Almodóvar 
1548,mar-vidal,cine,« SIN RODEOS » , Dir. Santiago Segura.
1549,mar-vidal,cine,« PARA PAPÁ CON AMOR » , Dir. Sukuma. Bollywood.
1550,mar-vidal,cine,« EL FURGÓN » , Dir. Benito Rabal con Elsa Pataky y Sancho Gracia.
1551,mar-vidal,cine,« YA NO ESTÁS SOLA » , (Principal). Mediometraje sobre la violencia de género. Ayto. Cartagena para Tve/Tv murciana/Tv Mar Menor.
1552,mar-vidal,teatro,« CUENTACUENTOS » ,"  librerías, auditorios, teatro, asociaciones. "
1553,mar-vidal,formacion,, Comedia en el audiovisual  copan Nacho Guerreros.
1554,mar-vidal,formacion,*,T
1555,mar-vidal,formacion,," Antonio Naharro Dir. cine, productor. Multipremiado: Goyas, SGAE, Concha Plata."
1556,mar-vidal,formacion,, Bel Armenteros. cine. Madrid. Creandocine.
1557,mar-vidal,formacion,, Roger Gual: Dir cine y tv. Goya. “Remake.Las chicas del cable. Smoking room.”
1558,mar-vidal,formacion,, Carlos Sedes: Dir cince y tv.: “Fariña. Gran Hotel. Las chicas del cable. 
1559,mar-vidal,formacion,*, 
1560,mar-vidal,formacion,*, 
1561,mar-vidal,formacion,*, 
1562,mar-vidal,formacion,*, 
1563,mar-vidal,formacion,*, 
1564,mar-vidal,formacion,*, 
1565,mar-vidal,formacion,*, 
1566,mar-vidal,formacion,*, 
1567,mar-vidal,formacion, , 
1568,mar-vidal,formacion,," Carnets: Coche B1, Pesca clase A (desde tierra o embarcación), Motonáutica (barco hasta 6m eslora)"
1569,mar-vidal,formacion,, Equitación básica
1570,mar-vidal,formacion,, Lengua de signos española: iniciación. Asoc.MANO A MANO. Cartagena. 2013-2014
1571,mar-vidal,formacion, , 
1572,mar-vidal,formacion,Mejor actriz y pareja. Match de Improvisación Francisco Rabal. Cartagena. 2004,2010
1573,mar-vidal,cortometrajes,, EL CACHARRICO. Dir. Oscar Toribio.
1574,mar-vidal,cortometrajes,, LA PARTIDA. Dir. LuiBelda.
1575,mar-vidal,cortometrajes,, LA FOTO. Dir. Lito Campillo.
1576,mar-vidal,videoclip,"""",E
1577,mar-vidal,videoclip,"""",E
1578,mar-vidal,videoclip,"""",Ú
1579,mar-vidal,videoclip,"""",T
