,actor,ciudad,nombres,representante
122,ana bokesa,[],Raquel Pérez,Borial Management
123,ana bokesa,[],La Joven,Borial Management
124,ana bokesa,[],Marisa Lull,Borial Management
125,ana bokesa,[],Javier Montero,Borial Management
126,ana bokesa,[],Teatro Español,Borial Management
127,ana bokesa,[],,Borial Management
128,andrea dueso,[],Lautaro Perotti,Borial Management
129,andrea dueso,[],Salvador Calvo,Borial Management
130,andrea dueso,[],Joven Compañía,Borial Management
131,andrea dueso,[],Curso Will,Borial Management
132,andrea dueso,[],Wiliam Shakespeare,Borial Management
133,andrea dueso,[],Máster Profesional,Borial Management
134,andrea dueso,[],Estudio Interactivo,Borial Management
135,andrea dueso,[],Fernando Piernas,Borial Management
136,andrea dueso,[],Eva Egido,Borial Management
137,andrea dueso,[],Juanma Navas,Borial Management
138,andrea dueso,[],Ángel Plana,Borial Management
139,andrea dueso,[],Bel Alzamora,Borial Management
140,andrea dueso,[],Escuela Interactivo,Borial Management
141,andrea dueso,[],De Interpretación,Borial Management
142,andrea dueso,[],Bárbara Fritsche,Borial Management
143,andrea dueso,[],Dani Díez,Borial Management
144,andrea dueso,[],,Borial Management
145,natalia huarte,['Madrid'],,Borial Management
146,natalia huarte,[],,Borial Management
147,natalia huarte,['New York'],Michael Chekhov,Borial Management
148,natalia huarte,['New York'],Acting Studio,Borial Management
149,natalia huarte,['New York'],New York,Borial Management
150,natalia huarte,[],Vicente Fuentes,Borial Management
151,natalia huarte,[],Roberta Carreri,Borial Management
152,natalia huarte,[],Odín Teatret,Borial Management
153,natalia huarte,[],Will Keen,Borial Management
154,natalia huarte,[],Alfredo Sanzol,Borial Management
155,natalia huarte,[],Andrés Lima,Borial Management
156,natalia huarte,[],Carlota Ferrer,Borial Management
157,natalia huarte,[],,Borial Management
158,natalia huarte,[],Fernanda Orazi,Borial Management
159,natalia huarte,[],,Borial Management
160,marina varem,[],Claudio Tolcachir,Borial Management
161,marina varem,[],Vanessa Rasero,Borial Management
162,marina varem,['Málaga'],Arte Dramático,Borial Management
163,marina varem,['Málaga'],Teatro Musical,Borial Management
164,marina varem,[],Alquimia Versal,Borial Management
165,marina varem,[],Carlos Aladro,Borial Management
166,marina varem,[],Inma Nieto,Borial Management
167,marina varem,[],Ernesto Arias,Borial Management
168,marina varem,[],,Borial Management
169,marina varem,[],Lautaro Perotti,Borial Management
170,marina varem,[],Francisco Conde,Borial Management
171,marina varem,[],Kurro González,Borial Management
172,marina varem,[],Teatro Físico,Borial Management
173,marina varem,[],Javier Herrero,Borial Management
174,marina varem,[],Fernando Sánchez,Borial Management
175,marina varem,['Santos'],Carlos Therón,Borial Management
176,marina varem,['Santos'],Manu Gómez,Borial Management
177,marina varem,['Santos'],Pedro Collantes,Borial Management
178,marina varem,['Santos'],Javier Marco,Borial Management
179,marina varem,['Santos'],David Martín,Borial Management
180,marina varem,['Santos'],Celia Rico,Borial Management
181,marina varem,['Santos'],Álvaro Gago,Borial Management
182,marina varem,['Santos'],Paula Cons,Borial Management
183,marina varem,['Santos'],Jose Luis,Borial Management
184,marina varem,['Santos'],Carmen Utrilla,Borial Management
185,marina varem,[],Alberto Cerrada,Borial Management
186,marina varem,[],Sergio Urbano,Borial Management
187,marina varem,[],Danza Clásica,Borial Management
188,marina varem,[],Método Vaganova,Borial Management
189,marina varem,[],Monográfico Danza,Borial Management
190,marina varem,[],Chorus Line,Borial Management
191,marina varem,[],Bayork Lee,Borial Management
192,marina varem,[],Caterina Chisesi,Borial Management
193,marina varem,[],Klauss Stauffer,Borial Management
194,iván-montes,no hay info,Tonucha Vidal,Única Representaciones
195,iván-montes,no hay info,Curso Interpretación,Única Representaciones
196,iván-montes,no hay info,Cristina Alcázar,Única Representaciones
197,iván-montes,no hay info,Artes Escénicas,Única Representaciones
198,iván-montes,no hay info,Curso Interpretación,Única Representaciones
199,iván-montes,no hay info,Cristina Alcázar,Única Representaciones
200,iván-montes,no hay info,Teatro Musical,Única Representaciones
201,iván-montes,no hay info,Baile Moderno,Única Representaciones
202,iván-montes,no hay info,,Única Representaciones
203,iván-montes,no hay info,,Única Representaciones
204,pepe-sevilla,Madrid,Grado Superior,Única Representaciones
205,pepe-sevilla,Madrid,Arte Dramático,Única Representaciones
206,pepe-sevilla,Madrid,Interpretación Textual,Única Representaciones
207,pepe-sevilla,no hay info,Filología Hispánica,Única Representaciones
