,actor,titulo,tipo,año,episodios
458,EVA ISANTA,Decrescendo,Corto,2013,no hay info
459,EVA ISANTA,Padres,Corto,2011,no hay info
460,EVA ISANTA,Penalty,Corto,2006,no hay info
461,EVA ISANTA,Aquí no hay quien viva,Serie de TV,2004–2006,71 episodios
462,EVA ISANTA,Amores circulares,Corto,2004,no hay info
463,EVA ISANTA,El dolor y la lluvia,Corto,2003,no hay info
464,EVA ISANTA,Ana y los 7,Serie de TV,2003,1 episodio
465,EVA ISANTA,La vida de Rita,Serie de TV,2003,1 episodio
466,EVA ISANTA,Hospital Central,Serie de TV,2002,1 episodio
467,EVA ISANTA,Desenlace,Serie de TV,2002,1 episodio
468,EVA ISANTA,"Jacinto Durante, representante",Serie de TV,2000,13 episodios
469,EVA ISANTA,Petra Delicado,Serie de TV,1999,1 episodio
470,EVA ISANTA,Compañeros,Serie de TV,1998,1 episodio
471,EVA ISANTA,Pasen y vean,Serie de TV,1997,1 episodio
472,EVA ISANTA,Licántropo: El asesino de la luna llena,no hay info,1997,no hay info
473,EVA ISANTA,Colegio mayor,Serie de TV,1996–1997,21 episodios
474,EVA ISANTA,Por fin solos,Serie de TV,1995,1 episodio
475,EVA ISANTA,Farmacia de guardia,Serie de TV,1992–1995,16 episodios
476,EVA ISANTA,Aquí hay negocio,Serie de TV,1995,no hay info
477,EVA ISANTA,Villa Rosaura,Serie de TV,1994,13 episodios
478,EVA ISANTA,¡Por fin solos!,no hay info,1994,no hay info
479,EVA ISANTA,Habitación 503,Serie de TV,1994,1 episodio
480,JORGE KENT,Asedio,no hay info,2023,no hay info
481,JORGE KENT,Kosta (The paradise),Serie de TV,2022,3 episodios
482,JORGE KENT,El establo,Corto,2022,no hay info
483,JORGE KENT,Ellie,Corto,2022,no hay info
484,JORGE KENT,HIT,Serie de TV,2021,7 episodios
485,JORGE KENT,Los hombres de Paco,Serie de TV,2021,13 episodios
486,JORGE KENT,Desaparecidos,Serie de TV,2020,1 episodio
487,JORGE KENT,Mentiras,Serie de TV,2020,2 episodios
488,JORGE KENT,La catedral del mar,Serie de TV,2018,1 episodio
489,JORGE KENT,El secreto de Puente Viejo,Serie de TV,2018,1 episodio
490,JORGE KENT,La que se avecina,Serie de TV,2017,1 episodio
491,JORGE KENT,Vergüenza,Serie de TV,2017,1 episodio
492,JORGE KENT,El Ministerio del Tiempo,Serie de TV,2017,1 episodio
493,JORGE KENT,La niebla y la doncella,no hay info,2017,no hay info
494,JORGE KENT,Víctor Ros,Serie de TV,2016,1 episodio
495,JOSEP LINUESA,Enemigo Íntimo,Serie de TV,2020,17 episodios
496,JOSEP LINUESA,El Dragón: El regreso de un guerrero,Serie de TV,2020,2 episodios
497,JOSEP LINUESA,Caronte,Serie de TV,2020,1 episodio
498,JOSEP LINUESA,Las del hockey,Serie de TV,2019,13 episodios
499,JOSEP LINUESA,Hospital Valle Norte,Serie de TV,2019,4 episodios
500,JOSEP LINUESA,Torre de narcos,Serie de TV,2018,12 episodios
501,JOSEP LINUESA,Blackwood,no hay info,2018,no hay info
502,JOSEP LINUESA,De la ley a la ley,Película de TV,2017,no hay info
503,JOSEP LINUESA,Cuéntame cómo pasó,Serie de TV,2016,3 episodios
504,JOSEP LINUESA,Cites,Serie de TV,2015–2016,2 episodios
505,JOSEP LINUESA,La Riera,Serie de TV,2015–2016,9 episodios
506,JOSEP LINUESA,Sólo química,no hay info,2015,no hay info
507,JOSEP LINUESA,El Ministerio del Tiempo,Serie de TV,2015,1 episodio
508,JOSEP LINUESA,Los misterios de Laura,Serie de TV,2014,5 episodios
509,JOSEP LINUESA,Amar es para siempre,Serie de TV,2013,101 episodios
510,JOSEP LINUESA,"Rocío Dúrcal, volver a verte",Miniserie de TV,2011,2 episodios
511,JOSEP LINUESA,L'edèn,Película de TV,2010,no hay info
512,JOSEP LINUESA,Supercharly,Serie de TV,2010,5 episodios
513,JOSEP LINUESA,El cónsul de Sodoma,no hay info,2009,no hay info
514,JOSEP LINUESA,Hasta mañana,no hay info,2009,no hay info
515,JOSEP LINUESA,Sin tetas no hay paraíso,Serie de TV,2008–2009,20 episodios
516,JOSEP LINUESA,Manolete,no hay info,2008,no hay info
517,JOSEP LINUESA,"SMS, sin miedo a soñar",Serie de TV,2006–2007,123 episodios
518,JOSEP LINUESA,Mi último verano con Marián,Película de TV,2007,no hay info
519,JOSEP LINUESA,Vida robada,Película de TV,2006,no hay info
520,JOSEP LINUESA,Ellas y el sexo débil,Serie de TV,2006,2 episodios
521,JOSEP LINUESA,Beatriz Barcelona,no hay info,2006,no hay info
522,JOSEP LINUESA,"Un dia, una nit",Película de TV,2006,no hay info
523,JOSEP LINUESA,El pasado es mañana,Serie de TV,2005,7 episodios
524,JOSEP LINUESA,Ventdelplà,Serie de TV,2005,7 episodios
525,JOSEP LINUESA,Ruido,no hay info,2005,no hay info
526,JOSEP LINUESA,De moda,Serie de TV,2004,1 episodio
527,JOSEP LINUESA,Catarsis,no hay info,2004,no hay info
528,JOSEP LINUESA,Ana y los 7,Serie de TV,2004,6 episodios
529,JOSEP LINUESA,Cota roja,Película de TV,2004,no hay info
530,JOSEP LINUESA,Setze dobles,Serie de TV,2003,5 episodios
531,JOSEP LINUESA,El tránsfuga,Película de TV,2003,no hay info
532,JOSEP LINUESA,Carmen,no hay info,2003,no hay info
533,JOSEP LINUESA,Diario de una becaria,no hay info,2003,no hay info
534,JOSEP LINUESA,Madrid,no hay info,2002,no hay info
535,JOSEP LINUESA,El alquimista impaciente,no hay info,2002,no hay info
536,JOSEP LINUESA,Des del balcó,Serie de TV,2001–2002,6 episodios
537,JOSEP LINUESA,Esa habitación del demonio,Corto,2001,no hay info
538,JOSEP LINUESA,Mi teniente,Serie de TV,2001,5 episodios
539,JOSEP LINUESA,En la puta vida,no hay info,2001,no hay info
540,JOSEP LINUESA,Hospital Central,Serie de TV,2001,1 episodio
541,JOSEP LINUESA,Crims,Serie de TV,2000,1 episodio
542,JOSEP LINUESA,"Jacinto Durante, representante",Serie de TV,2000,1 episodio
543,JOSEP LINUESA,Laura,Serie de TV,1999,1 episodio
544,JOSEP LINUESA,Disertaciones sobre una coliflor,Corto,1999,no hay info
545,JOSEP LINUESA,El comisario,Serie de TV,1999,1 episodio
546,JOSEP LINUESA,Periodistas,Serie de TV,1999,2 episodios
547,JOSEP LINUESA,Ambiciones,Serie de TV,1998,55 episodios
548,JOSEP LINUESA,Nissaga de poder,Serie de TV,1996–1998,33 episodios
549,JOSEP LINUESA,El show de la Diana,Serie de TV,1997,2 episodios
550,JOSEP LINUESA,El Coyote,Corto,1995,no hay info
551,JOSEP LINUESA,La Lloll,Serie de TV,1994–1995,2 episodios
552,JOSEP LINUESA,Gimlet,no hay info,1995,no hay info
553,JOSEP LINUESA,Pedralbes Centre,Serie de TV,1995,1 episodio
554,JOSEP LINUESA,Truqui abans d'entrar,Corto,1995,no hay info
555,JOSEP LINUESA,Secrets de família,Serie de TV,1995,3 episodios
556,JOSEP LINUESA,Estació d'enllaç,Serie de TV,1995,1 episodio
557,JOSEP LINUESA,Los amigos del muerto,Corto,1994,no hay info
558,JOSEP LINUESA,Delantero,Miniserie de TV,1993,6 episodios
559,JOSEP LINUESA,Un día volveré,Serie de TV,1993,6 episodios
560,JOSEP LINUESA,Crónicas del mal,Serie de TV,1992,1 episodio
561,JOSEP LINUESA,La grande collection,Serie de TV,1992,1 episodio
562,JOSEP LINUESA,"La Granja, menjars casolans",Serie de TV,1989–1992,61 episodios
563,JOSEP LINUESA,Las chicas de hoy en día,Serie de TV,1991,1 episodio
564,JOSEP LINUESA,La noche más larga,no hay info,1991,no hay info
565,JOSEP LINUESA,Qui?,Serie de TV,1990,3 episodios
566,JOSEP LINUESA,Peraustrínia 2004,no hay info,1990,no hay info
567,JOSEP LINUESA,Le retour d'Arsène Lupin,Serie de TV,1990,1 episodio
568,JOSEP LINUESA,Titànic-92,Película de TV,1989,no hay info
569,JOSEP LINUESA,"Lorenzaccio, Lorenzaccio",Película de TV,1989,no hay info
570, Víctor Castilla ,Kosta (The paradise),Serie de TV,2022,4 episodios
571, Víctor Castilla ,Apagón,Serie de TV,2022,1 episodio
572, Víctor Castilla ,Modelo 77,no hay info,2022,no hay info
573, Víctor Castilla ,El universo de Óliver,no hay info,2022,no hay info
574, Víctor Castilla ,Contando ovejas,no hay info,2022,no hay info
575, Víctor Castilla ,Nasdrovia,Serie de TV,2022,1 episodio
576, Víctor Castilla ,Los hombres de Paco,Serie de TV,2021,1 episodio
577, Víctor Castilla ,Dos vidas,Serie de TV,2021,1 episodio
578, Víctor Castilla ,Ausencias,Corto,2020,no hay info
579, Víctor Castilla ,Aventura en el Paraíso - Benalmádena,Corto,2020,no hay info
580, Víctor Castilla ,Malaka,Serie de TV,2019,6 episodios
581, Víctor Castilla ,Élite,Serie de TV,2018,2 episodios
582, Víctor Castilla ,MisfitSized,Corto,2018,no hay info
583, Víctor Castilla ,Toro,no hay info,2016,no hay info
584, Víctor Castilla ,El secreto de Puente Viejo,Serie de TV,2015,2 episodios
585, Víctor Castilla ,Kosta (The paradise),Serie de TV,2022,4 episodios
586, Víctor Castilla ,Apagón,Serie de TV,2022,1 episodio
587, Víctor Castilla ,Modelo 77,no hay info,2022,no hay info
588, Víctor Castilla ,El universo de Óliver,no hay info,2022,no hay info
589, Víctor Castilla ,Contando ovejas,no hay info,2022,no hay info
590, Víctor Castilla ,Nasdrovia,Serie de TV,2022,1 episodio
591, Víctor Castilla ,Los hombres de Paco,Serie de TV,2021,1 episodio
592, Víctor Castilla ,Dos vidas,Serie de TV,2021,1 episodio
593, Víctor Castilla ,Ausencias,Corto,2020,no hay info
594, Víctor Castilla ,Aventura en el Paraíso - Benalmádena,Corto,2020,no hay info
595, Víctor Castilla ,Malaka,Serie de TV,2019,6 episodios
596, Víctor Castilla ,Élite,Serie de TV,2018,2 episodios
597, Víctor Castilla ,MisfitSized,Corto,2018,no hay info
598, Víctor Castilla ,Toro,no hay info,2016,no hay info
599, Víctor Castilla ,El secreto de Puente Viejo,Serie de TV,2015,2 episodios
600, David Mora ,La novia de América,,2023,no hay info
601, David Mora ,Sky Rojo,Serie de TV,2021,1 episodio
602, David Mora ,Bajo la sábana,Corto,2020,no hay info
603, David Mora ,Veneno,Miniserie de TV,2020,1 episodio
604, David Mora ,¿Chocamos?,Corto,2019,no hay info
605, David Mora ,Los amores cobardes,no hay info,2018,no hay info
606, David Mora ,La Noche,Corto,2018,no hay info
607, David Mora ,Dos veintitrés,Corto,2018,no hay info
608, David Mora ,Tatuados,Corto,2017,no hay info
609, David Mora ,Velvet Colección,Serie de TV,2017,1 episodio
610, David Mora ,Como la espuma,no hay info,2017,no hay info
611, David Mora ,El padre de Caín,Miniserie de TV,2016,1 episodio
612, David Mora ,El hombre de tu vida,Serie de TV,2016,1 episodio
613, David Mora ,Gernika,no hay info,2016,no hay info
614, David Mora ,"Kiki, el amor se hace",no hay info,2016,no hay info
615, David Mora ,Under,Corto,2016,no hay info
616, David Mora ,Chicos que lloran,Corto,2015,no hay info
617, David Mora ,Pajas,Corto,2014,no hay info
618, David Mora ,En apatía: Secuelas del odio,no hay info,2014,no hay info
619, David Mora ,Sei Lá,no hay info,2014,no hay info
620, David Mora ,Los amigos raros,no hay info,2014,no hay info
621, David Mora ,Halloween Love,Corto,2013,no hay info
622, David Mora ,Con el culo al aire,Serie de TV,2013,1 episodio
623, David Mora ,Al final todos mueren,no hay info,2013,no hay info
624, David Mora ,Afterparty,no hay info,2013,no hay info
625, David Mora ,El Sueco,Corto,2012,no hay info
626, David Mora ,Rotos,Corto,2012,no hay info
627, David Mora ,Lo retiro,Corto,2011,no hay info
628, David Mora ,Chico Especial,Corto,2011,no hay info
629, David Mora ,Nada menos,Corto,2011,no hay info
630, David Mora ,Seis puntos sobre Emma,no hay info,2011,no hay info
631, David Mora ,Grasman,Corto,2011,no hay info
632, David Mora ,El amor es sordo,Corto,2010,no hay info
633, David Mora ,Gusanos,Corto,2010,no hay info
634, David Mora ,Not Again,Corto,2010,no hay info
635, David Mora ,Aftershave,Corto,2009,no hay info
636, Jesús Caba ,Un verano en Ibiza,no hay info,2019,no hay info
637, Jesús Caba ,De púrpura y escarlata,no hay info,2018,no hay info
638, Jesús Caba ,El tamaño si importa,no hay info,2018,no hay info
639, Jesús Caba ,Que Dios nos perdone,no hay info,2016,no hay info
640, Jesús Caba ,Con el culo al aire,Serie de TV,2014,1 episodio
641, Jesús Caba ,El iluso,Corto,2014,no hay info
642, Jesús Caba ,Cuéntame cómo pasó,Serie de TV,2014,1 episodio
643, Jesús Caba ,Stockholm,no hay info,2013,no hay info
644, Jesús Caba ,Para Elisa,no hay info,2012,no hay info
645, Jesús Caba ,Frágiles,Serie de TV,2012,1 episodio
646, Jesús Caba ,Amar es para siempre,Serie de TV,2008–2011,126 episodios
647, Jesús Caba ,Impares,Serie de TV,2008–2010,3 episodios
648, Jesús Caba ,Impares premium,Serie de TV,2010,1 episodio
649, Jesús Caba ,Escenas de matrimonio,Serie de TV,2007–2008,54 episodios
650, Jesús Caba ,El viaje al paraíso,Corto,2008,no hay info
651, Jesús Caba ,8 citas,no hay info,2008,no hay info
652, Jesús Caba ,Yo soy Bea,Serie de TV,2007,1 episodio
653, Jesús Caba ,El efecto Rubik (& el poder del color rojo),Corto,2006,no hay info
654, Jesús Caba ,Hospital Central,Serie de TV,2006,1 episodio
655, Jesús Caba ,El comisario,Serie de TV,2006,1 episodio
656, Jesús Caba ,La habitación de los abrigos,Corto,2005,no hay info
657, Jesús Caba ,Ana y los 7,Serie de TV,2004–2005,19 episodios
658, Jesús Caba ,La sopa boba,Serie de TV,2004,1 episodio
659, Jesús Caba ,Amarillo,Corto,2003,no hay info
660, Javier Mula ,Nacho,Serie de TV,2023,1 episodio
661, Javier Mula ,Parot,Serie de TV,2021,2 episodios
662, Javier Mula ,Libertad,Serie de TV,2021,1 episodio
663, Javier Mula ,Patria,Miniserie de TV,2020,1 episodio
664, Javier Mula ,Antidisturbios,Serie de TV,2020,1 episodio
665, Javier Mula ,No matarás,no hay info,2020,no hay info
666, Javier Mula ,Inés del alma mía,Serie de TV,2020,1 episodio
667, Javier Mula ,Mercado Central,Serie de TV,2020,14 episodios
668, Javier Mula ,Kosta (The paradise),Serie de TV,2020,1 episodio
669, Javier Mula ,Élite,Serie de TV,2018,4 episodios
670, Javier Mula ,Vis a vis,Serie de TV,2018,1 episodio
671, Javier Mula ,Despachado,Corto,2018,no hay info
672, Javier Mula ,Plan de fuga,no hay info,2016,no hay info
673, Javier Mula ,El Ministerio del Tiempo,Serie de TV,2016,1 episodio
674, Javier Mula ,Acacias 38,Serie de TV,2015,11 episodios
675, Pablo Vázquez ,No me gusta conducir,Serie de TV,2022,2 episodios
676, Pablo Vázquez ,A mil kilómetros de la Navidad,no hay info,2021,no hay info
677, Pablo Vázquez ,La Luz,Corto,2021,no hay info
678, Pablo Vázquez ,Estoy vivo,Serie de TV,2021,12 episodios
679, Pablo Vázquez ,Los favoritos de Midas,Miniserie de TV,2020,1 episodio
680, Pablo Vázquez ,Vis a Vis: El Oasis,Serie de TV,2020,8 episodios
681, Pablo Vázquez ,La valla,Serie de TV,2020,3 episodios
682, Pablo Vázquez ,Vergüenza,Serie de TV,2020,1 episodio
683, Pablo Vázquez ,Malasaña 32,no hay info,2020,no hay info
684, Pablo Vázquez ,El asesino de los caprichos,no hay info,2019,no hay info
685, Pablo Vázquez ,Arde Madrid,Miniserie de TV,2018,1 episodio
686, Pablo Vázquez ,La Guarida,Corto,2018,no hay info
687, Pablo Vázquez ,Loca Olivia,no hay info,2018,no hay info
688, Pablo Vázquez ,Fariña,Miniserie de TV,2018,1 episodio
689, Pablo Vázquez ,La que se avecina,Serie de TV,2014,1 episodio
690, Pablo Vázquez ,Con el culo al aire,Serie de TV,2014,1 episodio
691, Pablo Vázquez ,Tercera oportunidad,Corto,2013,no hay info
692, Pablo Vázquez ,Amar es para siempre,Serie de TV,2013,33 episodios
693, Pablo Vázquez ,BuenAgente,Serie de TV,2011,1 episodio
694, Pablo Vázquez ,Bandolera,Serie de TV,2011,4 episodios
695, Pablo Vázquez ,Aída,Serie de TV,2010,1 episodio
696, Pablo Vázquez ,Reinas,no hay info,2005,no hay info
697, Pablo Vázquez ,Los Serrano,Serie de TV,2005,1 episodio
698, Pablo Vázquez ,XXL,no hay info,2004,no hay info
699, Pablo Vázquez ,Un paso adelante,Serie de TV,2004,1 episodio
700, Pablo Vázquez ,El comisario,Serie de TV,2003,1 episodio
701, Alejandro Sigüenza ,Amar es para siempre,Serie de TV,2010–2022,113 episodios
702, Alejandro Sigüenza ,Besos al aire,Miniserie de TV,2021,1 episodio
703, Alejandro Sigüenza ,Acacias 38,Serie de TV,2021,13 episodios
704, Alejandro Sigüenza ,Sonrisas,Corto,2020,no hay info
705, Alejandro Sigüenza ,Una vez más,no hay info,2019,no hay info
706, Alejandro Sigüenza ,14 de abril. La República,Serie de TV,2018,1 episodio
707, Alejandro Sigüenza ,La otra mirada,Serie de TV,2018,6 episodios
708, Alejandro Sigüenza ,El secreto de Puente Viejo,Serie de TV,2013–2018,198 episodios
709, Alejandro Sigüenza ,A sweet man,Corto,2017,no hay info
710, Alejandro Sigüenza ,Velvet,Serie de TV,2014,1 episodio
711, Alejandro Sigüenza ,Ángel o demonio,Serie de TV,2011,1 episodio
712, Alejandro Sigüenza ,Larga espera,Corto,2009,no hay info
713, Alejandro Sigüenza ,El comisario,Serie de TV,1999–2005,2 episodios
714, Alejandro Sigüenza ,Hospital Central,Serie de TV,2004,1 episodio
715, Alejandro Sigüenza ,Diez en Ibiza,Serie de TV,2004,2 episodios
716, Alejandro Sigüenza ,Compañeros,Serie de TV,2000–2002,66 episodios
717, Alejandro Sigüenza ,Arrayán,Serie de TV,2001,3 episodios
718, Alejandro Sigüenza ,El palo,no hay info,2001,no hay info
719, Juanma Cifuentes ,Supernormal,Serie de TV,2023,4 episodios
720, Juanma Cifuentes ,Cómo mandarlo todo a la mierda,Serie de TV,2022,2 episodios
721, Juanma Cifuentes ,Ana Tramel. El juego,Serie de TV,2021,5 episodios
722, Juanma Cifuentes ,HIT,Serie de TV,2020,6 episodios
723, Juanma Cifuentes ,Señoras del (h)AMPA,Serie de TV,2020,1 episodio
724, Juanma Cifuentes ,La rana que no quería morir,Corto,2019,no hay info
725, Juanma Cifuentes ,45 Revoluciones,Serie de TV,2019,1 episodio
726, Juanma Cifuentes ,Telepasión española,Serie de TV,2018,1 episodio
727, Juanma Cifuentes ,La catedral del mar,Serie de TV,2018,3 episodios
728, Juanma Cifuentes ,Say Cheese,Corto,2017,no hay info
729, Juanma Cifuentes ,La que se avecina,Serie de TV,2013–2017,3 episodios
730, Juanma Cifuentes ,El club de los buenos infieles,no hay info,2017,no hay info
731, Juanma Cifuentes ,Cuéntame cómo pasó,Serie de TV,2002–2016,2 episodios
732, Juanma Cifuentes ,Gym Tony,Serie de TV,2014–2015,165 episodios
733, Juanma Cifuentes ,Desde Los Ojos De La Inocencia,Corto,2014,no hay info
734, Juanma Cifuentes ,Operasiones espesiales,no hay info,2014,no hay info
735, Juanma Cifuentes ,Como alas al viento,Miniserie de TV,2013,1 episodio
736, Juanma Cifuentes ,Stamos okupa2,Serie de TV,2012,13 episodios
737, Juanma Cifuentes ,Don Enrique de Guzmán,Corto,2012,no hay info
738, Juanma Cifuentes ,Aunque todo vaya mal,Corto,2011,no hay info
739, Juanma Cifuentes ,Las chicas de oro,Serie de TV,2010,2 episodios
740, Juanma Cifuentes ,Sí bemol,Corto,2010,no hay info
741, Juanma Cifuentes ,Raphael: Una historia de superación personal,Miniserie de TV,2010,2 episodios
742, Juanma Cifuentes ,Supercharly,Serie de TV,2010,5 episodios
743, Juanma Cifuentes ,Esto no es amor,Corto,2010,no hay info
744, Juanma Cifuentes ,7 minutos,no hay info,2009,no hay info
745, Juanma Cifuentes ,Bolsitas,Corto,2009,no hay info
746, Juanma Cifuentes ,El síndrome de Ulises,Serie de TV,2007–2008,26 episodios
747, Juanma Cifuentes ,Qué follón de familia,Serie de TV,2007,no hay info
748, Juanma Cifuentes ,Corazonadas,Serie de TV,2007,no hay info
749, Juanma Cifuentes ,El club de los suicidas,no hay info,2007,no hay info
750, Juanma Cifuentes ,A tortas con la vida,Serie de TV,2005–2006,23 episodios
751, Juanma Cifuentes ,Aquí no hay quien viva,Serie de TV,2003–2005,2 episodios
752, Juanma Cifuentes ,De Kuleshov a Berlanga,Corto,2004,no hay info
753, Juanma Cifuentes ,¡Ala... Dina!,Serie de TV,2001,3 episodios
754, Juanma Cifuentes ,Menos es más,no hay info,2000,no hay info
755, Juanma Cifuentes ,El súper,Serie de TV,1999,1 episodio
756, Juanma Cifuentes ,Manos a la obra,Serie de TV,1999,1 episodio
757, Juanma Cifuentes ,La casa de los líos,Serie de TV,1998,1 episodio
758, Juanma Cifuentes ,Quince,no hay info,1998,no hay info
