,actor,ciudad,nombres,nº formaciones
46,rosalía-omil,Madrid,,14
46,rosalía-omil,no hay info,Teatro Joven,14
46,rosalía-omil,no hay info,Tonucha Vidal,14
46,rosalía-omil,no hay info,Maximiliano Priorello,14
46,rosalía-omil,no hay info,Jacopo Mandeli,14
46,rosalía-omil,no hay info,Taller La,14
46,rosalía-omil,no hay info,Manuel Becerra,14
46,rosalía-omil,no hay info,Laura Manzini,14
46,rosalía-omil,no hay info,,14
46,rosalía-omil,no hay info,,14
46,rosalía-omil,no hay info,,14
46,rosalía-omil,no hay info,,14
47,mar-vidal,no hay info,Nacho Guerreros,20
47,mar-vidal,no hay info,Técnicas Ante,20
47,mar-vidal,no hay info,Antonio Naharro,20
47,mar-vidal,no hay info,Concha Plata,20
47,mar-vidal,Madrid,Bel Armenteros,20
47,mar-vidal,Goya,Roger Gual,20
47,mar-vidal,no hay info,Carlos Sedes,20
47,mar-vidal,no hay info,Gran Hotel,20
47,mar-vidal,Murcia,La Voz,20
47,mar-vidal,Murcia,Carmen Acosta,20
47,mar-vidal,Madrid,Cristina Alcázar,20
47,mar-vidal,Madrid,Ana Pascuala,20
47,mar-vidal,Madrid,Laura Delgado,20
47,mar-vidal,Murcia,Antón Valén,20
47,mar-vidal,no hay info,Técnica Actoral,20
47,mar-vidal,no hay info,,20
47,mar-vidal,no hay info,,20
47,mar-vidal,no hay info,,20
47,mar-vidal,no hay info,,20
47,mar-vidal,no hay info,,20
47,mar-vidal,no hay info,,20
47,mar-vidal,no hay info,,20
47,mar-vidal,Cartagena,,20
47,mar-vidal,no hay info,,20
47,mar-vidal,Cartagena,Improvisación Francisco,20
