,actor,ciudad,nombres,nº formaciones
105,natalia huarte,['Madrid'],,15
106,natalia huarte,[],,15
107,natalia huarte,['New York'],Michael Chekhov,15
107,natalia huarte,['New York'],Acting Studio,15
107,natalia huarte,['New York'],New York,15
108,natalia huarte,[],Vicente Fuentes,15
109,natalia huarte,[],Roberta Carreri,15
109,natalia huarte,[],Odín Teatret,15
110,natalia huarte,[],Will Keen,15
111,natalia huarte,[],Alfredo Sanzol,15
111,natalia huarte,[],Andrés Lima,15
112,natalia huarte,[],Carlota Ferrer,15
113,natalia huarte,[],,15
114,natalia huarte,[],Fernanda Orazi,15
115,natalia huarte,[],,15
116,marina varem,[],Claudio Tolcachir,34
117,marina varem,[],Vanessa Rasero,34
118,marina varem,['Málaga'],Arte Dramático,34
118,marina varem,['Málaga'],Teatro Musical,34
119,marina varem,[],Alquimia Versal,34
119,marina varem,[],Carlos Aladro,34
119,marina varem,[],Inma Nieto,34
119,marina varem,[],Ernesto Arias,34
120,marina varem,[],,34
121,marina varem,[],Lautaro Perotti,34
122,marina varem,[],Francisco Conde,34
123,marina varem,[],Kurro González,34
124,marina varem,[],Teatro Físico,34
124,marina varem,[],Javier Herrero,34
124,marina varem,[],Fernando Sánchez,34
125,marina varem,['Santos'],Carlos Therón,34
125,marina varem,['Santos'],Manu Gómez,34
125,marina varem,['Santos'],Pedro Collantes,34
125,marina varem,['Santos'],Javier Marco,34
125,marina varem,['Santos'],David Martín,34
125,marina varem,['Santos'],Celia Rico,34
125,marina varem,['Santos'],Álvaro Gago,34
125,marina varem,['Santos'],Paula Cons,34
125,marina varem,['Santos'],Jose Luis,34
125,marina varem,['Santos'],Carmen Utrilla,34
126,marina varem,[],Alberto Cerrada,34
126,marina varem,[],Sergio Urbano,34
127,marina varem,[],Danza Clásica,34
127,marina varem,[],Método Vaganova,34
128,marina varem,[],Monográfico Danza,34
129,marina varem,[],Chorus Line,34
129,marina varem,[],Bayork Lee,34
130,marina varem,[],Caterina Chisesi,34
130,marina varem,[],Klauss Stauffer,34
